Section,Field,Content
Product Info,product_name,Beyond The Wall Hoodie
Product Info,tagline,The world they hid from you.
Product Info,short_description,"Premium all-over-print hoodie featuring the lost cartography of the outer realms. Atlantis, Lemuria, Meropis—and the ice walls that separate us from what lies beyond."
Product Info,price,89.0
Product Info,compare_at_price,120.0
Product Info,seo_title,Beyond The Wall Hoodie | DarkLab | Prod.Abysm
Product Info,seo_description,"Explore the hidden realms. Premium hoodie featuring the lost cartography of Atlantis, Lemuria, and the ice walls beyond. Limited edition."
Product Info,vendor,DarkLab
Product Info,product_type,Hoodie
Product Info,tags,"hoodie, darklab, beyond the wall, atlantis, lemuria, conspiracy, map, ice wall, fantasy, limited edition"
Product Info,sku,DL-BTW-001
Product Info,weight,1.5
Product Info,weight_unit,lb
Email Sequence,Teaser_subject,The map was never finished.
Email Sequence,Teaser_body,"What lies beyond the edge? What sits on the other side of the ice?

In 72 hours, we drop something that re-draws everything.

—DarkLab"
Email Sequence,Teaser_send_time,Day -3
Email Sequence,Launch_subject,BEYOND THE WALL is now live.
Email Sequence,Launch_body,"The map is real. The realms are real. And now you can wear the truth.

Beyond The Wall — our most detailed design ever — is now live in the shop.

Atlantis. Lemuria. The Meropis Lands. The Ice Walls. The Mountains Ring. All of it, rendered in full detail on a premium all-over-print hoodie.

This is a limited production run. Once it sells out, we're not reprinting.

[Shop Now - CTA]

—Abysm / DarkLab"
Email Sequence,Launch_send_time,Day 0
Email Sequence,Social Proof_subject,They found the edge.
Email Sequence,Social Proof_body,"The first orders for Beyond The Wall are shipping out.

If you haven't grabbed yours yet, stock is moving faster than we expected.

[Shop Now - CTA]

—DarkLab"
Email Sequence,Social Proof_send_time,Day 2
Email Sequence,Urgency_subject,Last call: Beyond The Wall closes soon.
Email Sequence,Urgency_body,"We're down to the final units of Beyond The Wall.

When this batch is gone, it's archived.

If you want the map, now is the time.

[Shop Now - CTA]

—DarkLab"
Email Sequence,Urgency_send_time,Day 5
Social Media,Instagram_Teaser,"They drew the lines. We drew what was behind them.

Beyond The Wall.
Dropping soon. 🧊🗺️

#DarkLab #ProdAbysm #BeyondTheWall #Atlantis #Lemuria #HiddenRealms #IceWall #ConspiracyTheory #AlternativeHistory #Streetwear #HoodieDesign"
Social Media,Instagram_Launch,"The map is live. The question is: are you ready to see what's on the other side?

Beyond The Wall — premium all-over-print hoodie. Limited run. Link in bio.

🗺️ Atlantis. Lemuria. Meropis. The Ice Walls. The Mountains Ring. The Ocean of Poseidon.

#DarkLab #ProdAbysm #BeyondTheWall #Atlantis #Lemuria #Meropis #IceWall #AlternativeHistory #DropNow #LimitedEdition"
Social Media,Facebook_Launch,"The map was never finished. Until now.

Beyond The Wall — our most detailed design yet — is now available in the DarkLab shop.

Premium all-over-print hoodie featuring the lost cartography of the outer realms. This is a limited production run. Once it's gone, it's archived.

Grab yours before they're gone."
Social Media,TikTok_Hook,POV: You finally found the map they hid from us. 🧊🗺️ Beyond The Wall — link in bio. #DarkLab #BeyondTheWall #Atlantis #Lemuria #ConspiracyTheory #Streetwear
Social Media,Twitter/X_Launch,"Beyond The Wall is now live.

Atlantis. Lemuria. Meropis. The Ice Walls. The Mountains Ring.

Limited run. Once it's gone, it's archived.

🔗 [link]

#DarkLab #BeyondTheWall"